,molecule_chembl_id,canonical_smiles,standard_type,standard_value,standard_units,MW,HeavyAtomMolWt,LogP,MolMR,NumHDonors,NumHAcceptors,NumAtoms,AR,TPSA,RB,bioactivity_class
0,CHEMBL1790051,COC(=O)[C@@H]1C2CC[C@H](C[C@@H]1c1ccccc1)N2C.Cl,Ki,33.0,nM,295.81,273.63399999999996,2.847700000000002,81.12700000000005,0.0,3.0,20.0,1.0,29.54,2.0,active
1,CHEMBL1790051,COC(=O)[C@@H]1C2CC[C@H](C[C@@H]1c1ccccc1)N2C.Cl,Ki,314.0,nM,295.81,273.63399999999996,2.847700000000002,81.12700000000005,0.0,3.0,20.0,1.0,29.54,2.0,inactive
2,CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,Ki,32.0,nM,303.35800000000006,282.19,1.8677,80.34150000000005,0.0,5.0,22.0,1.0,55.84,3.0,active
3,CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,Ki,388.0,nM,303.35800000000006,282.19,1.8677,80.34150000000005,0.0,5.0,22.0,1.0,55.84,3.0,inactive
4,CHEMBL333280,CN1CCC(O)(c2ccc(Cl)c(Cl)c2)C([C@@H](O)c2ccc(Cl)c(Cl)c2)C1,Ki,4140.0,nM,435.1780000000001,416.0260000000002,5.173100000000004,107.38460000000002,2.0,3.0,26.0,2.0,43.7,3.0,inactive
5,CHEMBL120490,CN1CCC(O)(c2ccc(Cl)c(Cl)c2)C(C(=O)c2ccc(Cl)c(Cl)c2)C1,Ki,10.9,nM,433.16200000000015,416.0260000000002,5.322400000000004,106.75530000000002,1.0,3.0,26.0,2.0,40.54,3.0,active
6,CHEMBL120269,Cc1ccc(C2OC(=O)OC3(c4ccc(C)cc4)CCN(C)CC23)cc1,Ki,8190.0,nM,351.4460000000001,326.24600000000004,4.358540000000003,99.94700000000005,0.0,4.0,26.0,2.0,38.77,2.0,inactive
7,CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,Ki,231.0,nM,303.35800000000006,282.19,1.8677,80.34150000000005,0.0,5.0,22.0,1.0,55.84,3.0,inactive
8,CHEMBL333476,Cc1ccc([C@H](O)C2CN(C)CCC2(O)c2ccc(C)cc2)cc1,Ki,10650.0,nM,325.452,298.23600000000005,3.1763400000000015,96.81860000000003,2.0,3.0,24.0,2.0,43.7,3.0,inactive
9,CHEMBL120951,CN1CCC(O)(c2ccc(F)cc2)C(C(=O)c2ccc(F)cc2)C1,Ki,5700.0,nM,331.362,312.21,2.987000000000002,86.63130000000004,1.0,3.0,24.0,2.0,40.54,3.0,inactive
