,molecule_chembl_id,smiles,standard_type,standard_value,standard_units,MW,LogP,NumHDonors,NumHAcceptors,AR,RB,bioactivity_class,bioactivity_class_encoded
0,CHEMBL1790051,COC(=O)[C@@H]1C2CC[C@H](C[C@@H]1c1ccccc1)N2C.Cl,Ki,33.0,nM,295.81,2.847700000000002,0.0,3.0,1.0,2.0,active,0
1,CHEMBL1790051,COC(=O)[C@@H]1C2CC[C@H](C[C@@H]1c1ccccc1)N2C.Cl,Ki,314.0,nM,295.81,2.847700000000002,0.0,3.0,1.0,2.0,inactive,1
2,CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,Ki,32.0,nM,303.35800000000006,1.8677,0.0,5.0,1.0,3.0,active,0
3,CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,Ki,388.0,nM,303.35800000000006,1.8677,0.0,5.0,1.0,3.0,inactive,1
4,CHEMBL333280,CN1CCC(O)(c2ccc(Cl)c(Cl)c2)C([C@@H](O)c2ccc(Cl)c(Cl)c2)C1,Ki,4140.0,nM,435.1780000000001,5.173100000000004,2.0,3.0,2.0,3.0,inactive,1
5,CHEMBL120490,CN1CCC(O)(c2ccc(Cl)c(Cl)c2)C(C(=O)c2ccc(Cl)c(Cl)c2)C1,Ki,10.9,nM,433.16200000000015,5.322400000000004,1.0,3.0,2.0,3.0,active,0
6,CHEMBL120269,Cc1ccc(C2OC(=O)OC3(c4ccc(C)cc4)CCN(C)CC23)cc1,Ki,8190.0,nM,351.4460000000001,4.358540000000003,0.0,4.0,2.0,2.0,inactive,1
7,CHEMBL370805,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,Ki,231.0,nM,303.35800000000006,1.8677,0.0,5.0,1.0,3.0,inactive,1
8,CHEMBL333476,Cc1ccc([C@H](O)C2CN(C)CCC2(O)c2ccc(C)cc2)cc1,Ki,10650.0,nM,325.452,3.176340000000001,2.0,3.0,2.0,3.0,inactive,1
9,CHEMBL120951,CN1CCC(O)(c2ccc(F)cc2)C(C(=O)c2ccc(F)cc2)C1,Ki,5700.0,nM,331.362,2.987000000000002,1.0,3.0,2.0,3.0,inactive,1
10,CHEMBL118794,CN1CCC(O)(c2ccc(Cl)cc2Cl)C([C@@H](O)c2ccc(Cl)cc2Cl)C1,Ki,4350.0,nM,435.1780000000001,5.173100000000004,2.0,3.0,2.0,3.0,inactive,1
11,CHEMBL331334,CN1CCC(O)(c2ccc(Cl)cc2Cl)C(C(=O)c2ccc(Cl)cc2Cl)C1,Ki,3650.0,nM,433.16200000000015,5.322400000000004,1.0,3.0,2.0,3.0,inactive,1
12,CHEMBL311347,COC(=O)[C@@H]1C2CC[C@H](C[C@@H]1c1ccc(I)cc1)N2C,Ki,0.48,nM,385.245,3.0305000000000017,0.0,3.0,1.0,2.0,active,0
13,CHEMBL174088,COC(=O)[C@@H]1C2CCC(C[C@@H]1c1ccc(/C=C\I)cc1)N2,Ki,3.47,nM,397.256,3.4894000000000016,1.0,3.0,1.0,3.0,active,0
14,CHEMBL72,CNCCCN1c2ccccc2CCc2ccccc21,Ki,0.49,nM,266.388,3.5328000000000026,1.0,2.0,2.0,4.0,active,0
15,CHEMBL106939,CN(C)Cc1ccccc1Sc1ccc(C#N)cc1N,Ki,1423.0,nM,283.40000000000003,3.3532800000000016,1.0,4.0,2.0,4.0,inactive,1
16,CHEMBL814,COCCCC/C(=N\OCCN)c1ccc(C(F)(F)F)cc1,Ki,1.46,nM,318.339,3.201500000000001,1.0,4.0,1.0,9.0,active,0
17,CHEMBL295467,CNCCC(Oc1ccccc1OC)c1ccccc1,Ki,30.0,nM,271.36,3.424800000000002,1.0,3.0,2.0,7.0,active,0
18,CHEMBL14370,CCOc1ccccc1OC(c1ccccc1)C1CNCCO1,Ki,60.0,nM,313.39700000000005,3.1938000000000004,1.0,4.0,2.0,6.0,active,0
19,CHEMBL104673,CN(C)Cc1ccccc1Sc1ccc(C(F)(F)F)cc1N,Ki,2038.0,nM,326.387,4.500400000000004,1.0,3.0,2.0,4.0,inactive,1
20,CHEMBL107077,COc1ccc(Sc2ccccc2CN(C)C)c(N)c1,Ki,2651.0,nM,288.41600000000005,3.4902000000000006,1.0,4.0,2.0,5.0,inactive,1
21,CHEMBL432394,CN(C)Cc1ccccc1Sc1ccc(Cl)cc1N,Ki,115.0,nM,292.83500000000004,4.135000000000003,1.0,3.0,2.0,4.0,inactive,1
22,CHEMBL173427,COC(=O)[C@@H]1C2CCC(C[C@@H]1c1ccc(/C=C/I)cc1)N2,Ki,1.88,nM,397.256,3.4894000000000016,1.0,3.0,1.0,3.0,active,0
23,CHEMBL353333,COC(=O)[C@@H]1C2CCC(C[C@@H]1c1ccc(I)cc1)N2,Ki,0.12,nM,371.218,2.6883,1.0,3.0,1.0,2.0,active,0
24,CHEMBL28394,CN1C2CCC1[C@@H](/C=C/Cl)[C@@H](c1ccc(Cl)cc1)C2,Ki,0.88,nM,296.24100000000004,4.658800000000004,0.0,1.0,1.0,2.0,active,0
25,CHEMBL28394,CN1C2CCC1[C@@H](/C=C/Cl)[C@@H](c1ccc(Cl)cc1)C2,Ki,0.22,nM,296.24100000000004,4.658800000000004,0.0,1.0,1.0,2.0,active,0
26,CHEMBL342055,c1ccc(CC(c2ccccc2)c2ccncc2)cc1,Ki,99.0,nM,259.35200000000003,4.456200000000003,0.0,1.0,3.0,4.0,active,0
27,CHEMBL342055,c1ccc(CC(c2ccccc2)c2ccncc2)cc1,Ki,263.0,nM,259.35200000000003,4.456200000000003,0.0,1.0,3.0,4.0,inactive,1
28,CHEMBL357322,c1ccc(Cc2ccncc2)cc1,Ki,10000.0,nM,169.227,2.672400000000001,0.0,1.0,2.0,2.0,inactive,1
