activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,34848,[],CHEMBL872503,Binding affinity towards dopamine transporter using [3H]WIN-35428 as radioligand from rat caudate putamen tissue (high affinity),B,,,BAO_0000192,BAO_0000221,tissue-based format,,,,CHEMBL1129546,J. Med. Chem.,1996.0,"{'bei': '19.50', 'le': None, 'lle': None, 'sei': None}",CHEMBL178011,"tri carbonyl methyl (3S,5R)-8-methyl-3-phenyl-8-azabicyclo[3.2.1]octane-2-carboxylate chromiumIII",CHEMBL178011,7.77,0,http://www.openphacts.org/units/Nanomolar,63553,=,1,1,=,,Ki,nM,,17.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,17.0
,34849,[],CHEMBL671773,Binding affinity towards dopamine transporter using [3H]WIN-35428 as radioligand from rat caudate putamen tissue (low affinity),B,,,BAO_0000192,BAO_0000357,single protein format,,,,CHEMBL1129546,J. Med. Chem.,1996.0,"{'bei': '16.69', 'le': None, 'lle': None, 'sei': None}",CHEMBL178011,"tri carbonyl methyl (3S,5R)-8-methyl-3-phenyl-8-azabicyclo[3.2.1]octane-2-carboxylate chromiumIII",CHEMBL178011,6.65,0,http://www.openphacts.org/units/Nanomolar,63553,=,1,1,=,,Ki,nM,,224.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,224.0
,53423,[],CHEMBL872503,Binding affinity towards dopamine transporter using [3H]WIN-35428 as radioligand from rat caudate putamen tissue (high affinity),B,,,BAO_0000192,BAO_0000221,tissue-based format,COC(=O)[C@@H]1C2CC[C@H](C[C@@H]1c1ccccc1)N2C.Cl,,,CHEMBL1129546,J. Med. Chem.,1996.0,"{'bei': '28.85', 'le': '0.54', 'lle': '5.05', 'sei': '25.33'}",CHEMBL1790051,,CHEMBL83729,7.48,0,http://www.openphacts.org/units/Nanomolar,63551,=,1,1,=,,Ki,nM,,33.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,33.0
,53424,[],CHEMBL671773,Binding affinity towards dopamine transporter using [3H]WIN-35428 as radioligand from rat caudate putamen tissue (low affinity),B,,,BAO_0000192,BAO_0000357,single protein format,COC(=O)[C@@H]1C2CC[C@H](C[C@@H]1c1ccccc1)N2C.Cl,,,CHEMBL1129546,J. Med. Chem.,1996.0,"{'bei': '25.07', 'le': '0.47', 'lle': '4.07', 'sei': '22.01'}",CHEMBL1790051,,CHEMBL83729,6.50,0,http://www.openphacts.org/units/Nanomolar,63551,=,1,1,=,,Ki,nM,,314.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,314.0
,53425,[],CHEMBL671771,Inhibitory activity against [3H]-Dopamine uptake from Dopamine transporter in rat caudate putamen tissue,B,,,BAO_0000190,BAO_0000221,tissue-based format,COC(=O)[C@@H]1C2CC[C@H](C[C@@H]1c1ccccc1)N2C.Cl,,,CHEMBL1129546,J. Med. Chem.,1996.0,"{'bei': '24.79', 'le': '0.46', 'lle': '4.00', 'sei': '21.76'}",CHEMBL1790051,,CHEMBL83729,6.43,0,http://www.openphacts.org/units/Nanomolar,63551,=,1,1,=,,IC50,nM,,373.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,373.0
,70051,[],CHEMBL872503,Binding affinity towards dopamine transporter using [3H]WIN-35428 as radioligand from rat caudate putamen tissue (high affinity),B,,,BAO_0000192,BAO_0000221,tissue-based format,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,,,CHEMBL1129546,J. Med. Chem.,1996.0,"{'bei': '24.71', 'le': '0.47', 'lle': '5.62', 'sei': '13.42'}",CHEMBL370805,COCAINE,CHEMBL370805,7.50,0,http://www.openphacts.org/units/Nanomolar,63550,=,1,1,=,,Ki,nM,,32.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,32.0
,70052,[],CHEMBL671773,Binding affinity towards dopamine transporter using [3H]WIN-35428 as radioligand from rat caudate putamen tissue (low affinity),B,,,BAO_0000192,BAO_0000357,single protein format,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,,,CHEMBL1129546,J. Med. Chem.,1996.0,"{'bei': '21.13', 'le': '0.40', 'lle': '4.54', 'sei': '11.48'}",CHEMBL370805,COCAINE,CHEMBL370805,6.41,0,http://www.openphacts.org/units/Nanomolar,63550,=,1,1,=,,Ki,nM,,388.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,388.0
,70053,[],CHEMBL671771,Inhibitory activity against [3H]-Dopamine uptake from Dopamine transporter in rat caudate putamen tissue,B,,,BAO_0000190,BAO_0000221,tissue-based format,COC(=O)[C@H]1[C@@H](OC(=O)c2ccccc2)C[C@@H]2CC[C@H]1N2C,,,CHEMBL1129546,J. Med. Chem.,1996.0,"{'bei': '21.07', 'le': '0.40', 'lle': '4.52', 'sei': '11.45'}",CHEMBL370805,COCAINE,CHEMBL370805,6.39,0,http://www.openphacts.org/units/Nanomolar,63550,=,1,1,=,,IC50,nM,,405.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,405.0
,71268,[],CHEMBL671772,Binding affinity towards dopamine transporter using [3H]WIN-35428 as radioligand from rat caudate putamen tissue,B,,,BAO_0000192,BAO_0000221,tissue-based format,,,,CHEMBL1129546,J. Med. Chem.,1996.0,"{'bei': '8.74', 'le': None, 'lle': None, 'sei': None}",CHEMBL611999,"Rutheium (II) triflate salt of (methyl (3S,5R)-8-methyl-3-phenyl-8-azabicyclo[3.2.1]octane-2-carboxylate)(penta methyl cyclo penta dinyl)",CHEMBL611999,5.64,0,http://www.openphacts.org/units/Nanomolar,63552,=,1,1,=,,Ki,nM,,2280.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,Ki,nM,UO_0000065,,2280.0
,71269,[],CHEMBL671771,Inhibitory activity against [3H]-Dopamine uptake from Dopamine transporter in rat caudate putamen tissue,B,,,BAO_0000190,BAO_0000221,tissue-based format,,,,CHEMBL1129546,J. Med. Chem.,1996.0,"{'bei': '8.38', 'le': None, 'lle': None, 'sei': None}",CHEMBL611999,"Rutheium (II) triflate salt of (methyl (3S,5R)-8-methyl-3-phenyl-8-azabicyclo[3.2.1]octane-2-carboxylate)(penta methyl cyclo penta dinyl)",CHEMBL611999,5.41,0,http://www.openphacts.org/units/Nanomolar,63552,=,1,1,=,,IC50,nM,,3890.0,CHEMBL238,Homo sapiens,Dopamine transporter,9606,,,IC50,nM,UO_0000065,,3890.0
